"","Happiness.Score","border.countries","coastline","climate","religions","median.age","population.growth.rate","life.expectancy","health.expenditure","obesity.rate","government.type","GDP.growth.rate"
"113","5.96-7.54","1","1","cold","10-20","30-50","0","70-80","6-9","15-30","semi-presidential federation","0"
"114","2.69-4.80","1","0","varied","40-50","10-30","1","60-70","6-9","0-15","presidential republic","1"
"115","5.96-7.54","1","1","hot","80-90","10-30","1","70-80","3-6","30-45","monarchy","1"
"116","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","presidential republic","1"
"117","4.80-5.96","1","0","varied","80-90","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"118","2.69-4.80","1","1","hot","50-60","10-30","1","50-60","9-12","0-15","presidential republic","1"
"119","5.96-7.54","0","1","hot","30-40","30-50","1","80-90","3-6","0-15","parliamentary republic","1"
"120","5.96-7.54","1","0","cold","60-70","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"121","4.80-5.96","1","1","varied","50-60","30-50","0","70-80","9-12","15-30","parliamentary republic","1"
"122","4.80-5.96","1","1","hot","90-100","10-30","1","50-60","0-3","0-15","parliamentary republic","1"
"123","4.80-5.96","1","1","hot","30-40","10-30","1","60-70","6-9","15-30","parliamentary republic","1"
"124","4.80-5.96","1","1","cold","30-40","30-50","1","80-90","6-9","0-15","presidential republic","1"
"125","2.69-4.80","1","0","hot","60-70","10-30","1","50-60","0-3","0-15","presidential republic","0"
"126","5.96-7.54","1","1","varied","90-100","30-50","1","80-90","6-9","15-30","monarchy","1"
"127","2.69-4.80","0","1","hot","70-80","30-50","1","70-80","3-6","0-15","presidential republic","1"
"128","2.69-4.80","1","1","hot","80-90","10-30","1","60-70","6-9","0-15","presidential republic","1"
"129","5.96-7.54","1","1","cold","80-90","30-50","1","80-90","9-12","15-30","monarchy","1"
"130","5.96-7.54","1","0","cold","30-40","30-50","1","80-90","9-12","15-30","federal republic","1"
"131","2.69-4.80","1","1","varied","80-90","10-30","1","70-80","3-6","15-30","presidential republic","0"
"132","5.96-7.54","0","1","hot","90-100","30-50","1","80-90","6-9","15-30","presidential republic","1"
"133","4.80-5.96","1","0","hot","80-90","10-30","1","60-70","6-9","0-15","presidential republic","1"
"134","2.69-4.80","1","1","hot","60-70","10-30","1","60-70","3-6","0-15","presidential republic","1"
"135","5.96-7.54","1","1","hot","90-100","30-50","1","70-80","6-9","0-15","monarchy","1"
"136","2.69-4.80","1","1","hot","20-30","10-30","1","60-70","3-6","0-15","presidential republic","1"
"137","5.96-7.54","0","1","hot","30-40","30-50","0","70-80","3-6","30-45","parliamentary republic","0"
"138","4.80-5.96","1","1","hot","90-100","30-50","1","70-80","6-9","15-30","parliamentary republic","1"
"139","4.80-5.96","1","1","hot","90-100","30-50","1","70-80","3-6","15-30","parliamentary republic","1"
"140","4.80-5.96","1","0","hot","80-90","10-30","1","70-80","0-3","15-30","presidential republic","1"
"141","2.69-4.80","1","0","hot","40-50","10-30","1","50-60","6-9","0-15","presidential republic","1"
"142","2.69-4.80","1","1","varied","60-70","30-50","0","70-80","6-9","15-30","presidential republic","1"
"143","5.96-7.54","1","1","varied","70-80","30-50","1","70-80","3-6","30-45","federation of monarchies","1"
"144","5.96-7.54","1","1","varied","50-60","30-50","1","80-90","9-12","15-30","monarchy","1"
"145","5.96-7.54","1","1","hot","40-50","30-50","1","70-80","15-18","30-45","federal republic","1"
"146","5.96-7.54","1","1","varied","40-50","30-50","1","70-80","6-9","15-30","presidential republic","1"
"147","5.96-7.54","1","0","hot","80-90","10-30","1","70-80","3-6","0-15","presidential republic","1"
"148","4.80-5.96","1","1","hot","90-100","10-30","1","70-80","3-6","15-30","presidential republic","0"
"149","4.80-5.96","1","1","hot","0-10","30-50","1","70-80","6-9","0-15","communist state","1"
"150","2.69-4.80","1","1","hot","90-100","10-30","1","60-70","3-6","0-15","in transition","0"
"151","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","3-6","0-15","presidential republic","1"
"152","2.69-4.80","1","0","hot","70-80","10-30","1","50-60","6-9","0-15","presidential republic","0"
